CustomerID,Feedback,SentimentScore
1,Unresponsive helpline,0.88
2,Worst delivery experience,0.25
3,Delay in shipment,0.91
4,Great support,0.35
5,Unresponsive helpline,0.2
6,Amazing product,0.35
7,Excellent service,0.25
8,Delay in shipment,0.1
9,Great support,0.95
10,Quick resolution,0.35
11,Loved the quality,0.95
12,Packaging was damaged,0.35
13,Unresponsive helpline,0.1
14,Loved the quality,0.3
15,Quick resolution,0.9
16,Packaging was damaged,0.9
17,Quick resolution,0.3
18,Excellent service,0.9
19,Quick resolution,0.91
20,Loved the quality,0.3
21,Great support,0.95
22,Loved the quality,0.3
23,Delay in shipment,0.95
24,Packaging was damaged,0.1
25,Worst delivery experience,0.1
26,Packaging was damaged,0.9
27,Amazing product,0.3
28,Will not recommend,0.3
29,Great support,0.91
30,Amazing product,0.35
31,Delay in shipment,0.9
32,Unresponsive helpline,0.88
33,Delay in shipment,0.3
34,Great support,0.88
35,Quick resolution,0.2
36,Great support,0.88
37,Loved the quality,0.25
38,Will not recommend,0.88
39,Amazing product,0.35
40,Excellent service,0.3
41,Great support,0.91
42,Loved the quality,0.95
43,Delay in shipment,0.92
44,Loved the quality,0.95
45,Will not recommend,0.1
46,Excellent service,0.95
47,Delay in shipment,0.35
48,Delay in shipment,0.35
49,Amazing product,0.88
50,Packaging was damaged,0.1
51,Loved the quality,0.91
52,Will not recommend,0.35
53,Packaging was damaged,0.2
54,Excellent service,0.3
55,Delay in shipment,0.91
56,Amazing product,0.2
57,Packaging was damaged,0.88
58,Excellent service,0.3
59,Amazing product,0.1
60,Great support,0.35
61,Worst delivery experience,0.95
62,Delay in shipment,0.25
63,Loved the quality,0.35
64,Delay in shipment,0.88
65,Quick resolution,0.35
66,Delay in shipment,0.88
67,Amazing product,0.92
68,Delay in shipment,0.9
69,Loved the quality,0.35
70,Will not recommend,0.1
71,Will not recommend,0.91
72,Quick resolution,0.35
73,Packaging was damaged,0.91
74,Great support,0.2
75,Excellent service,0.95
76,Unresponsive helpline,0.3
77,Will not recommend,0.92
78,Loved the quality,0.1
79,Amazing product,0.88
80,Quick resolution,0.25
81,Packaging was damaged,0.95
82,Amazing product,0.35
83,Worst delivery experience,0.95
84,Amazing product,0.25
85,Amazing product,0.95
86,Quick resolution,0.3
87,Excellent service,0.9
88,Loved the quality,0.2
89,Worst delivery experience,0.25
90,Packaging was damaged,0.35
91,Packaging was damaged,0.3
92,Delay in shipment,0.9
93,Worst delivery experience,0.35
94,Amazing product,0.35
95,Delay in shipment,0.92
